abandon	GIVE-UP_ABOLISH_ABANDON	DISCARD	CHANGE_SWITCH
abase	DOWNPLAY_HUMILIATE
blow	MESS	PERFORM	EXPLODE	BREATH_BLOW	WASTE	AIR	SHAPE
blubber	CRY
bludgeon	HIT
blunder	GO-FORWARD	MISTAKE
blunt	WEAKEN
blur	DIM
blurt	SPEAK
board	CATCH_EMBARK	STAY_DWELL
boast	BEHAVE
boat	MOVE-BY-MEANS-OF
bob	MOVE-ONESELF
bode	SIGNAL_INDICATE
bog	STOP
boggle	CAUSE-MENTAL-STATE
boil	SPILL_POUR	HEAT
bolster	STRENGTHEN_MAKE-RESISTANT
bolt	LEAVE_DEPART_RUN-AWAY	SECURE_FASTEN_TIE
bomb	FAIL_LOSE	ATTACK_BOMB
bombard	ATTACK_BOMB
bond	GUARANTEE_ENSURE_PROMISE	ATTACH
bone	STUDY
boo	CRITICIZE
book	RECORD
boom	INCREASE_ENLARGE_MULTIPLY	MAKE-A-SOUND
boost	INCREASE_ENLARGE_MULTIPLY
boot	SPEAK
bootleg	SELL
border	BORDER
bore	HOLE_PIERCE	CAUSE-MENTAL-STATE
borrow	TAKE-A-SERVICE_RENT
botch	MESS
bother	CAUSE-MENTAL-STATE
bottle	STOP	PUT_APPLY_PLACE_PAVE
bottleneck	STOP
bottom	FALL_SLIDE-DOWN
bounce	MOVE-BACK	RESTORE-TO-PREVIOUS/INITIAL-STATE_UNDO_UNWIND
bound	GO-FORWARD	BORDER
bow	LOWER	FAIL_LOSE	RESIGN_RETIRE	BEND
bowl	PLAY_SPORT/GAME
box	ENCLOSE_WRAP	INSERT
boycott	REFUSE
brace	PREPARE
brag	BEHAVE
brainwash	PERSUADE
braise	COOK
branch	SEPARATE_FILTER_DETACH
brand	NAME
brandish	SHOW
brave	FACE_CHALLENGE
brazen	FACE_CHALLENGE
breach	VIOLATE
bread	COVER_SPREAD_SURMOUNT
break	VIOLATE	APPEAR	COMPENSATE	DISBAND_BREAK-UP	BREAK_DETERIORATE	LEAVE_DEPART_RUN-AWAY	STOP	CAUSE-MENTAL-STATE	DESTROY	HAPPEN_OCCUR	SEPARATE_FILTER_DETACH	BEGIN
breakthrough	CHANGE_SWITCH
breathe	BREATH_BLOW
breed	GIVE-BIRTH
brew	PREPARE
bribe	CORRUPT
bridge	JOIN_CONNECT
brief	TEACH
brighten	LIGHTEN
brim	FILL
bring	LOWER	RAISE	BRING	ACCOMPANY	HAPPEN_OCCUR
bristle	REACT
broadcast	TRANSMIT
broaden	INCREASE_ENLARGE_MULTIPLY
broker	MANAGE
brood	THINK
brook	TOLERATE
browbeat	SUBJUGATE
browse	SEARCH
bruise	BREAK_DETERIORATE
brush	TOUCH	REMOVE_TAKE-AWAY_KIDNAP	EMBELLISH	REFUSE
brutalize	TREAT
bubble	EMIT
buck	RESIST
buckle	LOWER	SECURE_FASTEN_TIE	PREPARE
bud	BEGIN
budge	MOVE-ONESELF
budget	GIVE_GIFT
buff	WASH_CLEAN
buffer	PROTECT
buffet	HIT
bug	CAUSE-MENTAL-STATE	DECEIVE
build	MOUNT_ASSEMBLE_PRODUCE	INCREASE_ENLARGE_MULTIPLY	INCLUDE-AS
bulge	FILL
bulldoze	FLATTEN_SMOOTHEN
bullet	SHOOT_LAUNCH_PROPEL
bully	OBLIGE_FORCE
bumble	SPEAK
bump	REMOVE_TAKE-AWAY_KIDNAP	HIT
bundle	DRESS_WEAR
bungle	MESS
bunk	LOAD_PROVIDE_CHARGE_FURNISH
buoy	CARRY_TRANSPORT
burble	SPEAK
burden	BURDEN_BEAR
burgeon	AMELIORATE
burglarize	STEAL_DEPRIVE
burn	FINISH_CONCLUDE_END	BURN
burnish	WASH_CLEAN
burst	APPEAR	EXPLODE
bury	BURY_PLANT
bust	DESTROY	CATCH
bustle	MOVE-ONESELF
butcher	KILL
butt	VIOLATE
buttress	STRENGTHEN_MAKE-RESISTANT
buy	BUY
buzz	LEAVE_DEPART_RUN-AWAY	MAKE-A-SOUND	VISIT
bypass	ABSTAIN_AVOID_REFRAIN
cadge	ASK_REQUEST
cajole	PERSUADE
cake	COVER_SPREAD_SURMOUNT
calculate	SUBJECTIVE-JUDGING
calibrate	ADJUST_CORRECT
call	ASK_REQUEST	LEAD_GOVERN	CANCEL_ELIMINATE	FACE_CHALLENGE	SUMMON	NAME	SPEAK	GUESS
calm	MAKE-RELAX
camouflage	CLOUD_SHADOW_HIDE
camp	STAY_DWELL
campaign	WORK
can	PRESERVE
cancel	CANCEL_ELIMINATE
candy	COVER_SPREAD_SURMOUNT
canvass	ANALYZE
cap	FINISH_CONCLUDE_END	COVER_SPREAD_SURMOUNT
capitalize	BENEFIT_EXPLOIT	FOLLOW_SUPPORT_SPONSOR_FUND
capitulate	FAIL_LOSE
capsize	INVERT_REVERSE
captain	LEAD_GOVERN
caption	LOAD_PROVIDE_CHARGE_FURNISH
captivate	LURE_ENTICE
capture	STEAL_DEPRIVE
care	CAUSE-MENTAL-STATE
careen	GO-FORWARD
caricature	JOKE
carol	SING
carouse	ENJOY
carp	CRITICIZE
carry	CONTINUE	CARRY_TRANSPORT	ACHIEVE	CARRY-OUT-ACTION
cart	CARRY_TRANSPORT	PULL
carve	CAVE_CARVE	CUT
cash	BENEFIT_EXPLOIT	CHANGE_SWITCH
cast	THROW	CREATE_MATERIALIZE	CHOOSE
castigate	REPRIMAND
castle	PLAY_SPORT/GAME
catalog	SORT_CLASSIFY_ARRANGE
catalyze	CONVERT
catapult	SHOOT_LAUNCH_PROPEL
catch	LEARN	HUNT	CATCH	UNDERSTAND	STOP	FIND
categorize	SORT_CLASSIFY_ARRANGE
cater	NOURISH_FEED
cause	CAUSE-SMT
caution	WARN
cave	BREAK_DETERIORATE
cease	FINISH_CONCLUDE_END
cede	GIVE-UP_ABOLISH_ABANDON
celebrate	APPROVE_PRAISE	CELEBRATE_PARTY
cement	ATTACH
censor	PRECLUDE_FORBID_EXPEL
center	FOCUS
centralize	AMASS
certify	GUARANTEE_ENSURE_PROMISE
chafe	CAUSE-MENTAL-STATE
chain	SECURE_FASTEN_TIE
chair	LEAD_GOVERN
chalk	RECORD
challenge	FACE_CHALLENGE
champion	FIGHT
chance	RISK
change	REPLACE	CHANGE_SWITCH
channel	DIRECT_AIM_MANEUVER
chant	PERFORM
char	BURN
characterize	REPRESENT
charge	LOAD_PROVIDE_CHARGE_FURNISH	PAY	LEND	ACCUSE	CHARGE	RUN
chart	REPRESENT
charter	TAKE-A-SERVICE_RENT
chase	CHASE
chasten	REPRIMAND
chastise	REPRIMAND
chat	SPEAK
chauffeur	CARRY_TRANSPORT
cheapen	DEBASE_ADULTERATE
cheat	DECEIVE	STEAL_DEPRIVE
check	PROVE	VERIFY
cheer	APPROVE_PRAISE	CAUSE-MENTAL-STATE
cheerlead	WORK
cherish	LIKE
chew	EAT_BITE
chide	REPRIMAND
chill	CAUSE-MENTAL-STATE
chime	SPEAK
chip	SEPARATE_FILTER_DETACH	LOAD_PROVIDE_CHARGE_FURNISH
chisel	CAVE_CARVE
choke	WEAKEN	STOP	HURT_HARM_ACHE
choose	CHOOSE
chop	CUT
chortle	LAUGH
christen	COMMUNE
chronicle	RECORD
chuck	DISCARD
chuckle	LAUGH
chug	GO-FORWARD
churn	MOVE-ONESELF
cinch	VERIFY
circle	ENCLOSE_WRAP	MOVE-ONESELF
circuit	TRAVEL
circulate	CIRCULATE_SPREAD_DISTRIBUTE
circumcise	CUT
circumscribe	PRECLUDE_FORBID_EXPEL
circumvent	ABSTAIN_AVOID_REFRAIN
cite	SUMMON	CITE
claim	ASK_REQUEST	AFFIRM
clamber	RAISE
clamor	ASK_REQUEST
clamp	SECURE_FASTEN_TIE
clang	MAKE-A-SOUND
clank	MAKE-A-SOUND
clap	HIT
clarify	EXPLAIN
clash	QUARREL_POLEMICIZE
classify	RESTRAIN	SORT_CLASSIFY_ARRANGE
claw	CORRODE_WEAR-AWAY_SCRATCH
clean	WASH_CLEAN	EMPTY_UNLOAD
cleanse	WASH_CLEAN
clear	APPROVE_PRAISE	WASH_CLEAN	REMOVE_TAKE-AWAY_KIDNAP	AUTHORIZE_ADMIT
clench	PRESS_PUSH_FOLD
click	MAKE-A-SOUND
climax	FINISH_CONCLUDE_END
climb	RAISE	INCREASE_ENLARGE_MULTIPLY
clinch	SETTLE_CONCILIATE
cling	ATTACH
clink	MAKE-A-SOUND
clip	CUT
cloak	CLOUD_SHADOW_HIDE
clobber	HIT
clock	AFFECT	MEASURE_EVALUATE
clog	STOP
clone	INCREASE_ENLARGE_MULTIPLY
close	FINISH_CONCLUDE_END	REACH	ISOLATE	SETTLE_CONCILIATE	CLOSE	GO-FORWARD
clothe	DRESS_WEAR
cloud	CLOUD_SHADOW_HIDE
clown	BEHAVE
club	HIT
cluster	AMASS
clutch	CATCH
clutter	FILL
co-author	CREATE_MATERIALIZE
co-exist	EXIST_LIVE
co-found	ESTABLISH
co-sponsor	FOLLOW_SUPPORT_SPONSOR_FUND
coach	TEACH
coast	MOVE-ONESELF
coat	COVER_SPREAD_SURMOUNT
coax	PERSUADE
cobble	MOUNT_ASSEMBLE_PRODUCE
coddle	TREAT
code	CREATE_MATERIALIZE	CONVERT
codify	SORT_CLASSIFY_ARRANGE
cohabit	STAY_DWELL
cohere	COMBINE_MIX_UNITE
coil	ROLL
coin	CREATE_MATERIALIZE
coincide	HAPPEN_OCCUR
collaborate	ALLY_ASSOCIATE_MARRY
collapse	FAIL_LOSE	BREAK_DETERIORATE
collect	AMASS
collide	HIT
collude	ALLY_ASSOCIATE_MARRY
colonize	CONQUER
color	COLOR
comb	STRAIGHTEN	SEARCH
combat	FIGHT
combine	COMBINE_MIX_UNITE
come	ACHIEVE	SEEM	COME-FROM	REFER	INFLUENCE	TAKE	BUY	BRING	UNDERSTAND	RESULT_CONSEQUENCE	FIND	HAPPEN_OCCUR	CONTRACT-AN-ILLNESS_INFECT	APPEAR	REACH	GO-FORWARD	FOLLOW-IN-SPACE	START-FUNCTIONING	ARRIVE
comfort	MAKE-RELAX
command	COST	ORDER
commandeer	STEAL_DEPRIVE
commemorate	CELEBRATE_PARTY
commence	BEGIN
commend	APPROVE_PRAISE
comment	EXPLAIN
commercialize	SELL
commiserate	CAUSE-MENTAL-STATE
commission	ASK_REQUEST
commit	VIOLATE	GIVE_GIFT
commodify	CHANGE-APPEARANCE/STATE
communicate	INFORM
commute	GO-FORWARD
compact	PRESS_PUSH_FOLD
compare	COMPARE
compel	OBLIGE_FORCE
compensate	PAY
compete	COMPETE
compile	AMASS
complain	SPEAK
complement	AMELIORATE
complete	FINISH_CONCLUDE_END
complicate	WORSEN
compliment	APPROVE_PRAISE
comply	OBEY
compose	CREATE_MATERIALIZE	REPRESENT
compound	COMBINE_MIX_UNITE
comprehend	UNDERSTAND
compress	PRESS_PUSH_FOLD
comprise	INCLUDE-AS
compromise	SETTLE_CONCILIATE	ENDANGER
compute	CALCULATE_ESTIMATE
computerize	AUTOMATIZE
con	JOKE
conceal	CLOUD_SHADOW_HIDE
concede	RECOGNIZE_ADMIT_IDENTIFY
conceive	CREATE_MATERIALIZE	SUBJECTIVE-JUDGING
concentrate	CHANGE-APPEARANCE/STATE	FOCUS
concern	REFER	CAUSE-MENTAL-STATE
conclude	FINISH_CONCLUDE_END	DECIDE_DETERMINE
concoct	CREATE_MATERIALIZE
concrete	SPILL_POUR
concur	AGREE_ACCEPT
condemn	OBLIGE_FORCE
condense	CHANGE-APPEARANCE/STATE
condition	OBLIGE_FORCE	CAUSE-MENTAL-STATE
condone	JUSTIFY_EXCUSE
conduct	CIRCULATE_SPREAD_DISTRIBUTE	BEHAVE
confer	DISCUSS	GIVE_GIFT
confess	RECOGNIZE_ADMIT_IDENTIFY
confide	REVEAL
configure	ADJUST_CORRECT
confine	CAGE_IMPRISON
confirm	AFFIRM
confiscate	REMOVE_TAKE-AWAY_KIDNAP
conflict	DISTINGUISH_DIFFER
conform	ADJUST_CORRECT
confront	FACE_CHALLENGE
confuse	CAUSE-MENTAL-STATE
congeal	CHANGE-APPEARANCE/STATE
congest	STOP
congratulate	APPROVE_PRAISE
congregate	MEET
conjecture	BELIEVE
conjure	CREATE_MATERIALIZE
connect	JOIN_CONNECT
connote	MEAN
conquer	LEAD_GOVERN
consent	AGREE_ACCEPT
conserve	PRESERVE
consider	SUBJECTIVE-JUDGING	CONSIDER
consign	SEND
consist	EXIST-WITH-FEATURE
console	MAKE-RELAX
consolidate	COMBINE_MIX_UNITE
consort	ACCOMPANY
conspire	ALLY_ASSOCIATE_MARRY
constitute	INCLUDE-AS
constrain	RESTRAIN
constrict	PRESS_PUSH_FOLD
construct	MOUNT_ASSEMBLE_PRODUCE
construe	INTERPRET
consult	DISCUSS
consume	CONSUME_SPEND
consummate	AMELIORATE
contact	COMMUNICATE_CONTACT
contain	CONTAIN
contaminate	DIRTY
contemplate	TAKE-INTO-ACCOUNT_CONSIDER
contemporize	AMELIORATE
contend	COMPETE	AFFIRM
content	CAUSE-MENTAL-STATE
contest	CRITICIZE
continue	CONTINUE	SPEAK
contract	HIRE	REDUCE_DIMINISH	CONTRACT-AN-ILLNESS_INFECT
contradict	REFUSE
contrast	DISTINGUISH_DIFFER
contravene	VIOLATE
contribute	LOAD_PROVIDE_CHARGE_FURNISH
control	MANAGE
convene	SUMMON
converge	GO-FORWARD
converse	SPEAK
convert	CONVERT
convey	INFORM
convict	DECREE_DECLARE
convince	PERSUADE
convoke	SUMMON
convolute	DECEIVE
convulse	PRESS_PUSH_FOLD
coo	MAKE-A-SOUND
cook	CREATE_MATERIALIZE	COOK	HAPPEN_OCCUR
cool	COOL
cooperate	ALLY_ASSOCIATE_MARRY
coordinate	ORGANIZE
cop	REMOVE_TAKE-AWAY_KIDNAP
cope	FACE_CHALLENGE
copy	COPY
copyright	PROTECT
cork	CLOSE
corner	MANAGE
corral	ENCLOSE_WRAP
correct	ADJUST_CORRECT
correspond	COMMUNICATE_CONTACT	MATCH
corroborate	PROVE
cosset	TREAT
cost	COST
costume	LOAD_PROVIDE_CHARGE_FURNISH
couch	SPEAK
cough	GIVE_GIFT	EXCRETE
counsel	WARN
count	EXIST-WITH-FEATURE	COUNT	RELY	INCLUDE-AS
countenance	AUTHORIZE_ADMIT
counter	REACT
counteract	OPPOSE_REBEL_DISSENT
counterattack	ATTACK_BOMB
counterbalance	COMPENSATE
countervail	COMPENSATE
couple	JOIN_CONNECT
course	TRAVEL
court	COURT
cover	CLOUD_SHADOW_HIDE	COVER_SPREAD_SURMOUNT	TRANSMIT	INCLUDE-AS
covet	REQUIRE_NEED_WANT_HOPE
cower	CAUSE-MENTAL-STATE
cowrite	CREATE_MATERIALIZE
crack	PRECLUDE_FORBID_EXPEL	MAKE-A-SOUND	SPEAK	BREAK_DETERIORATE
crackle	MAKE-A-SOUND
craft	MOUNT_ASSEMBLE_PRODUCE
cram	STUDY	PUT_APPLY_PLACE_PAVE
crane	EXTEND
crank	INCREASE_ENLARGE_MULTIPLY	MOUNT_ASSEMBLE_PRODUCE
crash	VIOLATE	ESTABLISH	BREAK_DETERIORATE
crave	REQUIRE_NEED_WANT_HOPE
crawl	TRAVEL
creak	MAKE-A-SOUND
cream	DEFEAT
crease	PRESS_PUSH_FOLD
create	MOUNT_ASSEMBLE_PRODUCE
credit	ADD	ASCRIBE
creep	TRAVEL	MOVE-ONESELF
crest	REACH
criminalize	PRECLUDE_FORBID_EXPEL
crimp	ROLL
cringe	MOVE-BACK
cripple	HURT_HARM_ACHE
crisscross	OVERCOME_SURPASS
criticize	CRITICIZE
croak	KILL
croon	SING
crop	APPEAR
cross	REACH	CAUSE-MENTAL-STATE	CANCEL_ELIMINATE	OVERLAP
crouch	LOWER
crow	ENJOY
crowd	FILL	ARRIVE
crown	COVER_SPREAD_SURMOUNT
crucify	KILL
cruise	TRAVEL	SEARCH
crumble	BREAK_DETERIORATE
crumple	PRESS_PUSH_FOLD
crunch	BREAK_DETERIORATE
crush	BREAK_DETERIORATE
cry	CRY	SPEAK
crystallize	CHANGE-APPEARANCE/STATE
cuff	HIT
culminate	REACH
cultivate	INCREASE_ENLARGE_MULTIPLY
cum	EXCRETE
curb	REDUCE_DIMINISH
cure	PRESERVE	HELP_HEAL_CARE_CURE
curl	ROLL
curry	FLATTER
curse	OFFEND_DISESTEEM
curtail	REDUCE_DIMINISH
curve	BEND
cushion	PROTECT
customize	ADJUST_CORRECT
cut	ORGANIZE	CUT	REDUCE_DIMINISH	REMOVE_TAKE-AWAY_KIDNAP	LIBERATE_ALLOW_AFFORD
cycle	MOVE-BY-MEANS-OF
dab	TOUCH
dabble	WORK
damage	BREAK_DETERIORATE
damn	BEWITCH
damp	WEAKEN
dampen	WEAKEN
dance	DANCE	GO-FORWARD
dandle	TOUCH
dangle	HANG
dare	BEHAVE
darken	DIM
dash	DESTROY	RUN
